
version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,baseline,v0+pf4bb11247362+td4c1aeaa79bf,f4bb11247362,d4c1aeaa79bf,"Baseline chưa tối ưu, đo bằng provider thật để lấy điểm xuất phát.","Prompt v0 được viết sai có chủ đích (bảo agent đoán bừa, chỉ dùng một tool) nên dự đoán routing và boundary đều yếu; cần số liệu trước khi sửa bất cứ thứ gì.",case_accuracy,,0.7,runs/v0_B_base_groq_20260729T111423811494.json
v1,team,system_prompt.md,v1+pd25e2a4b5f01+td4c1aeaa79bf,d25e2a4b5f01,d4c1aeaa79bf,"R10/R11 đoán bừa handle và bịa URL, R12 không xin xác nhận, R13 chỉ gọi một tool — cả 4 đều khớp với 3 chỉ thị trong prompt v0.","Thay 3 chỉ thị đó bằng 3 quy tắc (hỏi khi thiếu tham số bắt buộc, xác nhận trước hành động ghi, được gọi nhiều tool) thì R10/R11/R12/R13 sẽ pass.",case_accuracy,0.7,0.75,runs/v1_B_base_groq_20260729T112231397830.json
v2,team,tools.yaml,v2+pd25e2a4b5f01+t3e84d9df1574,d25e2a4b5f01,3e84d9df1574,"Sau v1, cả 5 failure còn lại đều là sai giá trị argument: screenname='samaltman', query='AI news', response_type='text'.","Declaration đang rỗng nghĩa ('Tên tài khoản', 'Truy vấn'). Viết argument conventions vào description thì R01/R03/R12/M02 sẽ pass.",case_accuracy,0.75,0.85,runs/v2_B_base_groq_20260729T112553705829.json
v3,team,system_prompt.md,v3+pb8fa117c5f8d+t3e84d9df1574,b8fa117c5f8d,3e84d9df1574,R07 hỏi lại về một tham số vốn có default; R12 ưu tiên luật thiếu-thông-tin hơn luật xác nhận.,"Siết phạm vi: chỉ hỏi khi tham số KHÔNG có default, và xác nhận được ưu tiên tuyệt đối trước mọi câu hỏi chi tiết.",case_accuracy,0.85,0.55,runs/v3_B_base_groq_20260729T112934661923.json
v4,team,system_prompt.md,v4+pda77501bcfdf+t3e84d9df1574,da77501bcfdf,3e84d9df1574,REGRESSION ở v3: vế nhấn mạnh 'and confirm before anything else' bị đọc thành xác nhận trước MỌI việc — 6 case research read-only biến thành clarify(yes_no).,"Giới hạn xác nhận đúng vào hành động ghi, và nói thẳng rằng tool read-only không bao giờ cần xin phép, thì các case bị regression sẽ hồi phục.",case_accuracy,0.55,0.9,runs/v4_B_base_groq_20260729T113334800049.json
v5,team,tools.yaml,v5+pda77501bcfdf+t056a8584142d,da77501bcfdf,056a8584142d,R12/R13 lì qua cả 4 version: quy tắc chỉ nằm ở prompt bị bỏ qua khi xung đột với ngữ cảnh cục bộ của tool.,Hạ 2 quy tắc đó xuống chính declaration (clarify.response_type: hành động ghi LUÔN yes_no; social_search: request đa nguồn phải gọi cùng lookup) thì R12/R13 sẽ pass.,case_accuracy,0.9,0.95,runs/v5_B_base_groq_20260729T113728855957.json
v6,team,tools.yaml,v6+pda77501bcfdf+teda24430e0a6,da77501bcfdf,eda24430e0a6,Thí nghiệm v0–v5 đã xong nên bỏ isolation: khai báo tool mới hn_search của nhóm và bật lại 4 bonus tool để chạy được suite group và extension.,Thêm 5 declaration làm tool set tăng từ 6 lên 11; nếu argument conventions ở v2/v5 đủ chặt thì base suite không được tụt điểm — chạy lại base trên v6 chính là phép kiểm tra regression đó.,case_accuracy,0.95,0.9,runs/v6_B_base_groq_20260729T114135874252.json
v6,team,(suite group),v6+pda77501bcfdf+teda24430e0a6,da77501bcfdf,eda24430e0a6,Chạy suite group trên artifact cuối cùng.,Đo riêng bộ case của nhóm / bộ extension; không phải một vòng tối ưu nên không có metric_before.,case_accuracy,,1.0,runs/v6_B_group_groq_20260729T114248150848.json
v6,team,(suite extension),v6+pda77501bcfdf+teda24430e0a6,da77501bcfdf,eda24430e0a6,Chạy suite extension trên artifact cuối cùng.,Đo riêng bộ case của nhóm / bộ extension; không phải một vòng tối ưu nên không có metric_before.,case_accuracy,,0.6,runs/v6_B_extension_groq_20260729T114333041226.json

